"ID","duration","language","canton","other_canton","house","other_house","WOGENO_BE_house","GEWOBA_ZG_house","time_house","role_no","role_board","role_association","role_workgroup","role_other","role_other_spec","coop_1_4R","coop_3_5R","coop_4_3R","coop_8_2R","middle_name","birth_month","mother","father","factor_analysis","other_dv","outcome1","outcome2","outcome3","sd","completed","house_old","coop_1_1","coop_1_2","coop_1_3","coop_1_4","coop_1_5","coop_2_1","coop_2_2","coop_2_3","coop_2_4","coop_3_1","coop_3_2","coop_3_3","coop_3_4","coop_3_5","coop_4_1","coop_4_2","coop_4_3","coop_4_4","coop_5_1","coop_5_2","coop_5_3","coop_5_4","coop_6_1","coop_6_2","coop_6_3","coop_6_4","coop_6_5","coop_7_1","coop_7_2","coop_7_3","coop_8_1","coop_8_2","coop_8_3","coop_8_4","coop_9_1","coop_9_2","coop_9_3","dv_market_1","dv_market_2","dv_market_3","dv_env_1","dv_env_2","dv_env_3","soc_id_neigh_1","soc_id_neigh_2","soc_id_neigh_3","soc_id_neigh_4","soc_id_hc_1","soc_id_hc_2","soc_id_hc_3","soc_id_hc_4","mor_house_1","mor_house_2","mor_house_3","ce_house_1","ce_house_2","anger_house_1","anger_house_2","anger_house_3","mor_market_1","mor_market_2","mor_market_3","ce_market_1","ce_market_2","anger_market1_1","anger_market1_2","anger_market1_3","anger_market2_1","anger_market2_2","mor_env_1","mor_env_2","mor_env_3","ce_env_1","ce_env_2","anger_env_1","anger_env_2","gender","birth_year_code","n_household","n_children_hh","education","pol_orientation","nationality","second_nat","nat_no_ch","pers_income","joint_income","prop_income","prop_rent_joint","prop_rent_single","n_children","birth_year","age","gender_m_w","gender_o_w","prop_income_num","pers_income_num","n_adults","pers_income_final","income_flag","age_s","n_hh_s","income_s","si_h","mor_h","ce_h","an_h","si_m_e","mor_m","ce_m","an_m","an_m_eco","an_m_soc","mor_e","ce_e","an_e","C1","C2","C3","C4","C5","C6","C7","dv_env","dv_soc","si_h_s","mor_h_s","ce_h_s","an_h_s","si_m_e_s","mor_m_s","ce_m_s","an_m_s","an_m_eco_s","an_m_soc_s","mor_e_s","ce_e_s","an_e_s","dv_eco"
1,1523,3,5,NA,7,NA,NA,-66,29,NA,NA,1,1,NA,NA,2,1,4,NA,"R",4,"A","P",1,1,1,1,1,1,1,7,7,7,7,6,6,7,7,7,7,6,6,6,3,7,6,5,4,6,7,7,5,5,4,6,4,2,5,5,5,5,5,3,5,7,6,3,2,6,6,6,6,6,6,7,7,6,6,6,6,5,5,6,6,6,6,6,3,3,3,6,4,6,5,5,6,6,6,7,7,6,6,6,7,7,7,7,2,42,1,0,5,3,1,NA,NA,7,2,-77,-77,2,0,1961,64,1,0,NA,6000,1,6000,"not joint ok",0.735002766872904,-0.8104469208068,0.0538067739595617,6.5,6,6,3,5.5,5.33333333333333,5,6.4,7,6,6,7,7,6.42857142857143,5.71428571428571,5.4,5.66666666666667,4.75,4.75,3.66666666666667,6,6,0.725786685117008,0.42036558315476,-0.0118915784727806,-0.459768655929619,0.275027484784253,0.224801476463311,-0.7548232390613,1.15404336827289,0.685500286361462,1.13402944558831,0.118605256219695,1.28746162157222,1.03356100514871,6
3,2640,3,5,NA,7,NA,NA,-66,3.5,NA,NA,1,NA,1,"Jeder Bewohnende ist Mitglied der Bewohnerinnenvereins",6,NA,6,NA,"H",5,"H","H",1,1,1,1,1,1,1,7,4,3,7,2,1,1,2,2,1,1,2,1,1,7,4,2,2,2,6,5,6,3,1,4,4,1,1,7,7,1,1,2,1,6,1,1,1,7,4,4,4,4,4,7,7,4,4,7,7,7,7,4,2,2,4,4,1,2,4,6,5,7,4,6,6,6,4,7,7,5,5,5,3,5,5,1,2,17,1,0,5,2,1,NA,NA,9,2,-77,-77,1,0,1936,89,1,0,NA,8000,1,8000,"not joint ok",2.51951507608463,-0.8104469208068,0.46354398097336,5.5,2.66666666666667,4,2.33333333333333,7,6,5,6,7,5.33333333333333,5,4,3,2.85714285714286,3,1.8,4.66666666666667,2.5,2.25,1,4,4,-0.451164696153817,-2.58224572509352,-2.25430351905425,-0.882397225447096,1.48784356467918,0.734660495246077,-0.7548232390613,0.775480434346397,0.685500286361462,0.649589682424369,-0.836022415792483,-1.1449563275814,-1.98814558797709,7
5,1051,3,5,NA,7,NA,NA,-66,33,NA,NA,1,1,1,"Technische Hauswartung",6,4,4,5,"W",5,"G","K",1,1,1,1,1,1,1,7,7,7,7,2,7,7,7,7,6,7,7,6,7,4,6,6,4,7,7,7,6,6,6,6,6,4,4,5,5,5,7,3,7,6,4,5,4,7,7,7,7,7,7,7,7,5,6,7,7,7,7,7,5,7,7,6,4,4,5,7,7,7,7,7,6,6,6,7,7,7,7,7,6,6,7,2,2,30,4,0,4,1,1,NA,NA,2,2,-77,-77,1,0,1949,76,1,0,NA,1000,4,1000,"not joint ok",1.59156867529453,0.374697025424709,-0.970536243574934,6.25,6.33333333333333,6.5,4.33333333333333,7,7,7,6.4,7,6,7,6,4.5,6.28571428571429,6.14285714285714,6.6,6.33333333333333,5.5,6,4.33333333333333,7,7,0.431548839799302,0.720626713979588,0.548711406672586,0.385488483105335,1.48784356467918,1.49944902342023,1.30378559474225,1.15404336827289,0.685500286361462,1.13402944558831,1.07323292823187,0.476655638521012,-0.855005615554913,7
6,913,3,5,NA,7,NA,NA,-66,27,NA,NA,NA,1,NA,NA,4,NA,3,3,"B",1,"B","T",1,1,1,1,1,1,1,7,5,5,7,4,5,4,3,6,4,3,4,6,5,7,4,6,5,5,5,5,5,6,3,3,2,2,2,3,1,1,4,5,2,6,5,3,5,4,6,6,7,5,7,7,7,6,6,6,7,5,3,7,7,7,5,6,5,5,5,7,5,7,6,6,7,5,4,7,7,7,6,6,7,7,7,7,1,43,2,0,6,4,2,NA,NA,10,1,4,2,-77,0,1962,63,0,0,0.7,10000,2,7142.85714285714,"joint ok",0.663622274504435,-0.41539893872963,0.287942320824589,6.5,7,5.5,5,5.25,6.33333333333333,6,6,7,5.33333333333333,6.33333333333333,7,7,3.57142857142857,4.71428571428571,4.4,5.33333333333333,2.5,3.5,4.33333333333333,6.33333333333333,6,0.725786685117008,1.32114897562925,-0.572494563618148,0.808117052622812,0.0728914714684322,0.98959000463746,0.274481177840473,0.775480434346397,0.685500286361462,0.649589682424369,0.436814480223754,1.28746162157222,1.03356100514871,4
8,1172,3,5,NA,7,NA,NA,-66,33,NA,NA,NA,1,NA,NA,6,1,4,1,"M",8,"V","M",1,1,1,1,1,1,1,7,6,6,7,2,4,4,6,7,7,4,4,4,1,7,7,6,4,6,7,4,7,4,4,4,4,1,4,7,7,7,7,7,4,1,7,1,4,7,7,7,4,1,1,7,7,1,6,2,1,1,1,7,7,7,7,7,4,2,1,7,4,7,7,7,4,6,4,7,7,6,5,7,7,7,6,6,2,34,2,0,5,1,1,NA,NA,7,1,4,1,-77,0,1953,72,1,0,0.7,6000,2,4285.71428571429,"joint ok",1.30604670582066,-0.41539893872963,-0.29739654633798,5.25,7,7,2.33333333333333,1.25,6,7,5.6,7,4.66666666666667,6,7,6,6.57142857142857,5.42857142857143,4,5,4,3.25,4,2,7,-0.745402541471523,1.32114897562925,1.10931439181795,-0.882397225447096,-3.1612847415847,0.734660495246077,1.30378559474225,0.396917500419901,0.685500286361462,0.165149919260433,0.118605256219695,1.28746162157222,0.278134356867261,7
15,589,3,5,NA,99,"ein wogeno haus",NA,-66,0.5,1,NA,NA,NA,NA,NA,1,1,4,NA,"m",5,"s","l",1,1,1,1,1,1,1,NA,7,7,7,7,7,7,7,7,7,7,7,7,4,7,7,7,4,7,7,7,7,7,4,4,1,1,7,4,7,7,2,4,1,5,7,4,6,7,5,7,6,6,6,7,7,6,6,7,7,7,6,7,7,7,7,7,1,1,1,7,7,7,6,7,5,5,5,7,7,7,7,7,6,6,6,6,1,57,1,0,5,1,1,NA,NA,5,2,-77,-77,2,0,1976,49,0,0,NA,4000,1,4000,"not joint ok",-0.335704618654134,-0.8104469208068,-0.355930433054237,6.5,7,7,1,6.75,7,6.5,5.8,7,5,7,6,6,7,6.14285714285714,6.4,7,4,2.25,5.66666666666667,6,6,0.725786685117008,1.32114897562925,1.10931439181795,-1.72765436448205,1.28570755136336,1.49944902342023,0.789133386291359,0.586198967383149,0.685500286361462,0.407369800842401,1.07323292823187,0.476655638521012,0.278134356867261,7
17,2441,3,2,NA,32,NA,NA,-66,17,NA,NA,1,1,1,NA,3,2,2,NA,"L",5,"V","O",1,1,1,1,1,1,1,32,7,7,7,5,7,7,6,7,7,5,7,6,7,6,7,7,6,7,6,6,7,7,6,6,6,4,6,7,7,7,1,3,2,6,7,4,7,4,7,6,5,6,6,7,7,7,7,6,6,7,7,7,7,7,6,7,4,2,2,4,4,4,5,6,5,5,4,7,7,7,7,5,6,6,7,7,1,29,1,0,4,2,1,NA,NA,1,2,-77,-77,2,0,1948,77,0,0,NA,0,1,2000,"not joint but no income => NA",1.662949167663,-0.8104469208068,-0.765667640068035,7,7,6.5,2.66666666666667,6.5,4,5.5,5.6,7,4.66666666666667,6.33333333333333,6,7,6.85714285714286,6.71428571428571,6.4,6.66666666666667,6,3.25,6,5.66666666666667,6.5,1.31426237575242,1.32114897562925,0.548711406672586,-0.671082940688358,1.08357153804754,-0.794916561102222,-0.240171030610414,0.396917500419901,0.685500286361462,0.165149919260433,0.436814480223754,0.476655638521012,1.03356100514871,4
18,1057,3,5,NA,99,"luggweg - bagestra",NA,-66,0.5,1,NA,NA,NA,NA,NA,6,1,4,1,"M",2,"S","B",1,1,1,1,1,1,1,NA,1,1,5,2,7,4,4,1,4,1,1,1,1,7,1,3,4,5,6,1,1,1,1,1,1,1,1,1,1,1,1,7,1,1,1,1,4,7,4,4,1,1,1,7,7,4,4,7,7,4,4,5,5,5,5,5,6,5,4,4,4,4,4,4,1,1,1,7,7,4,4,4,4,4,5,3,2,78,2,0,3,7,2,"Serbien",NA,7,1,1,1,-77,0,1997,28,1,0,0.1,6000,2,30000,"joint ok",-1.83469495839199,-0.41539893872963,4.97065325812514,5.5,5,5,5,5.5,4,4,3.4,7,1,4,4,4,1.85714285714286,4.28571428571429,1,1,1,1,2,1,4,-0.451164696153817,-0.480417809319725,-1.13309754876351,0.808117052622812,0.275027484784253,-0.794916561102222,-1.78412765596307,-1.68517863617583,0.685500286361462,-2.49926877814122,-1.79065008780466,-1.1449563275814,-1.23271893969564,7
19,1626,3,2,NA,32,NA,NA,-66,12,NA,NA,NA,1,NA,NA,4,1,4,NA,"R",9,"B","F",1,1,1,1,1,1,1,32,6,7,7,4,6,7,7,7,7,7,5,4,7,7,6,6,4,7,7,7,6,6,6,5,5,1,6,7,5,6,4,1,4,4,4,4,1,6,7,7,7,6,7,7,7,5,6,6,6,4,3,7,7,7,7,7,5,4,5,3,2,4,6,6,3,4,4,4,5,6,6,7,7,7,6,5,1,36,1,0,2,7,1,NA,NA,1,2,-77,-77,2,0,1955,70,0,0,NA,0,1,1000,"not joint but no income => NA",1.16328572108372,-0.8104469208068,-0.970536243574934,6.25,7,7,4.66666666666667,4.75,3,6,4,4.5,3.66666666666667,6.33333333333333,7,5.5,6.42857142857143,6.28571428571429,5.8,6.33333333333333,5.5,3.25,3,6.66666666666667,7,0.431548839799302,1.32114897562925,1.10931439181795,0.596802767864074,-0.33138055516321,-1.55970508927637,0.274481177840473,-1.11733423528608,-1.73650286673578,-0.561509725485472,0.436814480223754,1.28746162157222,-0.0995789672734637,6
21,1171,2,3,NA,26,NA,NA,-66,17,NA,NA,1,NA,NA,NA,3,1,1,6,"B",3,"M","M",1,1,1,1,1,1,1,26,5,1,7,5,6,4,4,5,4,2,4,6,7,7,4,6,7,6,7,4,6,6,2,1,1,1,1,7,4,1,6,2,1,3,7,7,7,7,4,5,5,3,5,7,7,3,4,2,4,2,2,3,3,5,5,5,3,3,3,7,6,6,6,6,6,4,4,7,7,6,6,4,5,5,6,6,1,51,4,1,5,3,2,"Espagnole",NA,9,1,3,2,-77,1,1970,55,0,0,0.5,8000,3,5333.33333333333,"joint ok",0.0925783355566812,0.374697025424709,-0.0827722950450378,5.25,3.66666666666667,5,3,2.5,6.33333333333333,6,5.6,7,4.66666666666667,5.33333333333333,5,6,3.42857142857143,6.14285714285714,4.6,5.33333333333333,1.25,2.75,7,4.33333333333333,4.5,-0.745402541471523,-1.68146233261904,-1.13309754876351,-0.459768655929619,-2.1506046750056,0.98959000463746,0.274481177840473,0.396917500419901,0.685500286361462,0.165149919260433,-0.517813191788424,-0.334150344530194,0.278134356867261,7
